county,year,month,births,Pop2010
"Woodbury County, IA",2019,November,30,102172
"Woodbury County, IA",2019,December,50,102172
"Boone County, KY",2016,January,53,118811
"Boone County, KY",2016,February,40,118811
"Boone County, KY",2016,March,41,118811
"Boone County, KY",2016,April,64,118811
"Boone County, KY",2016,May,58,118811
"Boone County, KY",2016,June,62,118811
"Boone County, KY",2016,July,50,118811
"Boone County, KY",2016,August,57,118811
"Boone County, KY",2016,September,72,118811
"Boone County, KY",2016,October,46,118811
"Boone County, KY",2016,November,51,118811
"Boone County, KY",2016,December,56,118811
"Boone County, KY",2017,January,51,118811
"Boone County, KY",2017,February,48,118811
"Boone County, KY",2017,March,49,118811
"Boone County, KY",2017,April,48,118811
"Boone County, KY",2017,May,59,118811
"Boone County, KY",2017,June,55,118811
"Boone County, KY",2017,July,51,118811
"Boone County, KY",2017,August,45,118811
"Boone County, KY",2017,September,59,118811
"Boone County, KY",2017,October,49,118811
"Boone County, KY",2017,November,55,118811
"Boone County, KY",2017,December,60,118811
"Boone County, KY",2018,January,53,118811
"Boone County, KY",2018,February,43,118811
"Boone County, KY",2018,March,52,118811
"Boone County, KY",2018,April,50,118811
"Boone County, KY",2018,May,45,118811
"Boone County, KY",2018,June,56,118811
"Boone County, KY",2018,July,54,118811
"Boone County, KY",2018,August,52,118811
"Boone County, KY",2018,September,50,118811
"Boone County, KY",2018,October,63,118811
"Boone County, KY",2018,November,50,118811
"Boone County, KY",2018,December,55,118811
"Boone County, KY",2019,January,37,118811
"Boone County, KY",2019,February,49,118811
"Boone County, KY",2019,March,46,118811
"Boone County, KY",2019,April,46,118811
"Boone County, KY",2019,May,42,118811
"Boone County, KY",2019,June,53,118811
"Boone County, KY",2019,July,59,118811
"Boone County, KY",2019,August,52,118811
"Boone County, KY",2019,September,48,118811
"Boone County, KY",2019,October,64,118811
"Boone County, KY",2019,November,47,118811
"Boone County, KY",2019,December,36,118811
"Ascension Parish, LA",2016,January,44,107215
"Ascension Parish, LA",2016,February,44,107215
"Ascension Parish, LA",2016,March,52,107215
"Ascension Parish, LA",2016,April,45,107215
"Ascension Parish, LA",2016,May,59,107215
"Ascension Parish, LA",2016,June,62,107215
"Ascension Parish, LA",2016,July,58,107215
"Ascension Parish, LA",2016,August,57,107215
"Ascension Parish, LA",2016,September,44,107215
"Ascension Parish, LA",2016,October,55,107215
"Ascension Parish, LA",2016,November,61,107215
"Ascension Parish, LA",2016,December,52,107215
"Ascension Parish, LA",2017,January,69,107215
"Ascension Parish, LA",2017,February,43,107215
"Ascension Parish, LA",2017,March,45,107215
"Ascension Parish, LA",2017,April,54,107215
"Ascension Parish, LA",2017,May,38,107215
"Ascension Parish, LA",2017,June,55,107215
"Ascension Parish, LA",2017,July,63,107215
"Ascension Parish, LA",2017,August,65,107215
"Ascension Parish, LA",2017,September,58,107215
"Ascension Parish, LA",2017,October,50,107215
"Ascension Parish, LA",2017,November,39,107215
"Ascension Parish, LA",2017,December,55,107215
"Ascension Parish, LA",2018,January,58,107215
"Ascension Parish, LA",2018,February,47,107215
"Ascension Parish, LA",2018,March,59,107215
"Ascension Parish, LA",2018,April,49,107215
"Ascension Parish, LA",2018,May,51,107215
"Ascension Parish, LA",2018,June,53,107215
"Ascension Parish, LA",2018,July,61,107215
"Ascension Parish, LA",2018,August,51,107215
"Ascension Parish, LA",2018,September,64,107215
"Ascension Parish, LA",2018,October,47,107215
"Ascension Parish, LA",2018,November,49,107215
"Ascension Parish, LA",2018,December,43,107215
"Ascension Parish, LA",2019,January,47,107215
"Ascension Parish, LA",2019,February,48,107215
"Ascension Parish, LA",2019,March,51,107215
"Ascension Parish, LA",2019,April,47,107215
"Ascension Parish, LA",2019,May,47,107215
"Ascension Parish, LA",2019,June,39,107215
"Ascension Parish, LA",2019,July,53,107215
"Ascension Parish, LA",2019,August,48,107215
"Ascension Parish, LA",2019,September,44,107215
"Ascension Parish, LA",2019,October,60,107215
"Ascension Parish, LA",2019,November,53,107215
"Ascension Parish, LA",2019,December,51,107215
"Washington County, MD",2016,January,47,147430
"Washington County, MD",2016,February,61,147430
"Washington County, MD",2016,March,57,147430
"Washington County, MD",2016,April,65,147430
"Washington County, MD",2016,May,49,147430
"Washington County, MD",2016,June,53,147430
"Washington County, MD",2016,July,59,147430
"Washington County, MD",2016,August,64,147430
"Washington County, MD",2016,September,67,147430
"Washington County, MD",2016,October,60,147430
"Washington County, MD",2016,November,48,147430
"Washington County, MD",2016,December,57,147430
"Washington County, MD",2017,January,63,147430
"Washington County, MD",2017,February,53,147430
"Washington County, MD",2017,March,58,147430
"Washington County, MD",2017,April,53,147430
"Washington County, MD",2017,May,61,147430
"Washington County, MD",2017,June,54,147430
